"id","teamName","projectName","lastScanDate"
"2","/CxServer","mongoCRUD","2/18/2022 9:48:49 AM"
"3","/CxServer","CxCE_Injection","6/10/2022 11:58:16 AM"
"13","/CxServer/GroupA/TestTeam","Jenkins_JVL","5/24/2022 11:40:14 AM"
"20","/CxServer","JVL-private","5/25/2022 1:20:03 PM"
"26","/CxServer","cxce cxaudit","6/24/2022 3:41:59 PM"
"27","/CxServer/GroupA/TestTeam","python_test_script","5/24/2022 11:40:14 AM"
"59","/CxServer","Webgoat Duplicate","5/24/2022 11:40:14 AM"
"62","/CxServer","Placeholder","5/24/2022 11:40:14 AM"
"2","/CxServer","mongoCRUD","2/18/2022 9:48:49 AM"
"3","/CxServer","CxCE_Injection","6/10/2022 11:58:16 AM"
"13","/CxServer/GroupA/TestTeam","Jenkins_JVL","5/24/2022 11:40:14 AM"
"15","/CxServer","Nodegoat","7/18/2022 10:51:18 AM"
"20","/CxServer","JVL-private","5/25/2022 1:20:03 PM"
"26","/CxServer","cxce cxaudit","6/24/2022 3:41:59 PM"
"27","/CxServer/GroupA/TestTeam","python_test_script","5/24/2022 11:40:14 AM"
"59","/CxServer","Webgoat Duplicate","5/24/2022 11:40:14 AM"
"62","/CxServer","Placeholder","5/24/2022 11:40:14 AM"
"63","/CxServer","Webgoat-WIP","7/20/2022 10:43:59 AM"
